FIPStxt,year,rate_domestic_migration
0,2012,
1000,2012,-0.023713794
1001,2012,-5.971991541
1003,2012,16.219674385
1005,2012,-6.457530728
1007,2012,-4.624328371
1009,2012,-1.737015807
1011,2012,-7.612424228
1013,2012,-8.185670262
1015,2012,-5.15889569
1017,2012,3.5810205909
1019,2012,2.040541321
1021,2012,-3.89591044
1023,2012,-0.441631091
1025,2012,-17.73678609
1027,2012,-16.37107776
1029,2012,-4.29285307
1031,2012,6.9104690653
1033,2012,1.4297628977
1035,2012,-9.755725773
1037,2012,-9.022424667
1039,2012,-3.71909001
1041,2012,2.0137365601
1043,2012,-1.169961852
1045,2012,-4.899861569
1047,2012,-12.87773129
1049,2012,-9.120997267
1051,2012,-1.960221243
1053,2012,-3.647001719
1055,2012,1.543276443
1057,2012,-0.647115922
1059,2012,-6.176535468
1061,2012,8.2712369598
1063,2012,-6.647512816
1065,2012,-2.733930024
1067,2012,-10.07819288
1069,2012,5.0617170005
1071,2012,-1.975671023
1073,2012,-4.437116786
1075,2012,-0.560636322
1077,2012,1.6732426904
1079,2012,-6.955804117
1081,2012,18.722433096
1083,2012,16.242198481
1085,2012,-29.92133145
1087,2012,-32.98959228
1089,2012,3.2097553111
1091,2012,-16.52207818
1093,2012,-3.009683329
1095,2012,-0.021259068
1097,2012,-3.66194049
1099,2012,-7.625008264
1101,2012,-9.32186184
1103,2012,-1.32430474
1105,2012,-27.36137389
1107,2012,-1.241497039
1109,2012,-0.905797101
1111,2012,-8.304253721
1113,2012,37.845343207
1115,2012,5.7960364119
1117,2012,8.2634682498
1119,2012,-4.455997029
1121,2012,3.8412526142
1123,2012,-8.24742268
1125,2012,4.4848717741
1127,2012,-4.747944442
1129,2012,-12.98513087
1131,2012,-11.52154793
1133,2012,-3.91308825
2000,2012,-1.816090229
2013,2012,-9.156111705
2016,2012,-0.355302896
2020,2012,-7.681023867
2050,2012,-3.59230221
2060,2012,-50.77152812
2068,2012,2.6455026455
2070,2012,-12.32821342
2090,2012,5.755149145
2100,2012,-3.882741215
2105,2012,9.5260776375
2110,2012,-1.053528546
2122,2012,3.6572761243
2130,2012,-5.765792067
2150,2012,-2.945084941
2158,2012,-5.438653286
2164,2012,-16.37355973
2170,2012,11.650359759
2180,2012,-14.18367347
2185,2012,-2.493247455
2188,2012,-16.61258923
2195,2012,-3.368034293
2198,2012,-0.93779306
2220,2012,2.4579632423
2230,2012,30.612244898
2240,2012,-15.0816925
2261,2012,-9.859299579
2275,2012,8.3090984628
2282,2012,-3.03030303
2290,2012,-6.577193138
4000,2012,4.5816500188
4001,2012,-6.412253914
4003,2012,-15.78943398
4005,2012,4.9700282153
4007,2012,-6.783546611
4009,2012,-10.62839724
4011,2012,13.372528676
4012,2012,-4.182370821
4013,2012,8.5785863115
4015,2012,6.7116572574
4017,2012,-9.140623182
4019,2012,-0.689400045
4021,2012,2.9436058777
4023,2012,-15.04851304
4025,2012,8.1364618447
4027,2012,-14.42331415
5000,2012,-0.43883831
5001,2012,2.3258887274
5003,2012,-9.58599611
5005,2012,2.426330539
5007,2012,13.152082808
5009,2012,4.8105994437
5011,2012,-13.04079655
5013,2012,7.0335519437
5015,2012,4.9374648296
5017,2012,-20.51635705
5019,2012,-8.318192763
5021,2012,-4.685620211
5023,2012,0.7746233394
5025,2012,-9.257652028
5027,2012,-13.80236961
5029,2012,0.1419479997
5031,2012,8.9416223954
5033,2012,-1.487385516
5035,2012,-15.46811937
5037,2012,-6.307726966
5039,2012,-8.245877061
5041,2012,-13.34860393
5043,2012,-0.906110919
5045,2012,11.362716831
5047,2012,-0.834074733
5049,2012,-2.703920685
5051,2012,4.4160132068
5053,2012,3.946088648
5055,2012,7.3495208857
5057,2012,-10.08208423
5059,2012,11.853141082
5061,2012,-13.31344804
5063,2012,-0.460473746
5065,2012,1.1802456386
5067,2012,-10.29043777
5069,2012,-20.22923815
5071,2012,3.1014363527
5073,2012,-8.27438943
5075,2012,-11.01334421
5077,2012,-7.716727717
5079,2012,-12.90367825
5081,2012,-0.07733653
5083,2012,-15.98369934
5085,2012,1.2747246452
5087,2012,-6.910009917
5089,2012,1.0212663703
5091,2012,-5.421790106
5093,2012,-14.52218728
5095,2012,-28.20786059
5097,2012,0.6402731832
5099,2012,-8.930066417
5101,2012,-22.44985585
5103,2012,-12.39855285
5105,2012,-3.186712375
5107,2012,-32.36676
5109,2012,2.3116248055
5111,2012,-6.728481168
5113,2012,-7.174581483
5115,2012,-4.436713002
5117,2012,-11.47473801
5119,2012,-2.105086864
5121,2012,-5.640409907
5123,2012,-5.215589612
5125,2012,12.199371026
5127,2012,-23.85971207
5129,2012,-3.979357085
5131,2012,-1.044854094
5133,2012,-8.661280009
5135,2012,-8.861940299
5137,2012,7.4275217634
5139,2012,-14.41717419
5141,2012,-0.349080754
5143,2012,5.3738980055
5145,2012,4.2239861157
5147,2012,-14.63140124
5149,2012,-7.033890564
6000,2012,-1.105875522
6001,2012,2.6057816713
6003,2012,15.433499773
6005,2012,-7.98424585
6007,2012,2.8536171526
6009,2012,-5.601555988
6011,2012,-7.839087474
6013,2012,4.2576066688
6015,2012,-11.12425618
6017,2012,-3.546226809
6019,2012,-4.934063024
6021,2012,-14.71691373
6023,2012,-6.441450624
6025,2012,-7.089320328
6027,2012,-3.701385298
6029,2012,-4.923670762
6031,2012,-18.47724519
6033,2012,-2.059202059
6035,2012,-20.44935543
6037,2012,-3.919370102
6039,2012,-9.637139597
6041,2012,-1.439082429
6043,2012,-16.14379629
6045,2012,-3.539072969
6047,2012,-4.333248745
6049,2012,-12.19512195
6051,2012,-15.02451918
6053,2012,-0.851825035
6055,2012,1.9621401084
6057,2012,-3.789918613
6059,2012,0.6890429924
6061,2012,7.7924506448
6063,2012,-15.75608758
6065,2012,4.8468680663
6067,2012,-0.648930619
6069,2012,3.96176805
6071,2012,-3.30742109
6073,2012,-0.1058387
6075,2012,4.4170782341
6077,2012,-0.562431714
6079,2012,9.6988727445
6081,2012,3.9616562912
6083,2012,1.5693116545
6085,2012,-0.857008137
6087,2012,0.0489459674
6089,2012,0.8552226251
6091,2012,-7.785888078
6093,2012,-11.83845581
6095,2012,0.3038219364
6097,2012,2.7030511124
6099,2012,-2.474026575
6101,2012,-12.70995543
6103,2012,-3.413859321
6105,2012,-11.77596232
6107,2012,-4.140255621
6109,2012,-8.968280896
6111,2012,-3.150969425
6113,2012,3.3798243672
6115,2012,-7.517399475
8000,2012,5.3757336683
8001,2012,7.5419689096
8003,2012,-7.454840868
8005,2012,6.1312441436
8007,2012,5.2167432617
8009,2012,-10.66666667
8011,2012,-100.7170795
8013,2012,7.9434003775
8014,2012,17.207033933
8015,2012,6.6331324968
8017,2012,-1.070950469
8019,2012,-4.326363082
8021,2012,-10.52122385
8023,2012,-9.66316952
8025,2012,-78.24477928
8027,2012,0.7105637139
8029,2012,1.6103059581
8031,2012,11.442287247
8033,2012,-21.21885023
8035,2012,10.604543548
8037,2012,-7.299899411
8039,2012,2.540256609
8041,2012,1.1735296593
8043,2012,-6.036153382
8045,2012,2.996214841
8047,2012,-2.025969242
8049,2012,-28.83546415
8051,2012,2.7416038382
8053,2012,-34.4191764
8055,2012,12.678530512
8057,2012,-19.38851603
8059,2012,7.0406988082
8061,2012,-5.633802817
8063,2012,-16.25215464
8065,2012,-15.620718
8067,2012,7.1321069433
8069,2012,11.303580008
8071,2012,-3.394907639
8073,2012,4.2361175062
8075,2012,-11.39474328
8077,2012,-2.166449908
8079,2012,9.7902097902
8081,2012,-23.76475897
8083,2012,-0.549536819
8085,2012,-6.150151916
8087,2012,-15.20282187
8089,2012,-11.42155685
8091,2012,14.333706607
8093,2012,-2.990281585
8095,2012,-0.680426401
8097,2012,0.0
8099,2012,-12.03707419
8101,2012,1.3399604244
8103,2012,-3.554239171
8105,2012,-3.953067833
8107,2012,-7.136101797
8109,2012,15.813433432
8111,2012,2.8943560058
8113,2012,4.9110698168
8115,2012,9.2631578947
8117,2012,-4.437344693
8119,2012,3.2468919554
