county_fips,pctpopwbbacc
21109,99.6
37005,87.7
13123,95.1
20015,73.3
6025,85.7
20019,0.0
20033,97.0
8067,59.9
18005,85.8
20115,30.0
6027,72.3
39097,82.5
15001,88.3
19139,28.2
40013,52.7
6093,3.4
21063,100.0
21177,68.0
12035,96.2
2070,0.0
8025,0.4
36123,70.8
38047,100.0
48461,0.0
23007,41.8
48353,78.3
38087,98.6
5093,75.8
29103,0.0
15009,98.3
20101,0.0
19181,85.5
16061,9.3
2060,0.0
1085,10.1
19081,60.6
6011,34.4
30081,38.4
19131,87.5
2188,0.0
48033,18.8
8075,86.2
27101,53.9
37119,100.0
37093,90.5
19019,55.9
18037,59.2
16039,76.2
26019,78.3
21089,96.0
31047,86.1
21075,68.3
16047,53.5
18097,97.0
18043,96.6
16051,69.4
27017,67.7
36031,82.1
48299,0.0
37197,99.4
36063,99.2
31159,86.0
2240,2.4
48145,29.3
23003,65.6
38033,1.0
40125,84.9
18063,87.4
20187,99.1
18069,73.8
48417,9.7
17175,60.1
5045,97.2
39145,82.4
6037,99.4
20085,35.9
18101,25.0
2270,0.0
6005,24.2
45091,93.9
1113,92.2
6063,0.0
39035,98.9
6035,38.1
26129,85.4
21163,83.3
31009,0.0
31071,0.6
36113,92.6
39133,95.9
23009,81.1
51057,85.3
48231,52.5
12065,15.2
37179,99.1
4025,80.7
48431,0.0
18047,27.6
26151,25.5
21191,50.2
48357,92.0
5149,65.2
13119,67.3
36003,75.8
48147,39.4
23027,58.5
23025,59.2
38045,100.0
34001,95.9
21139,62.2
35031,30.9
29119,65.2
28087,87.3
5095,43.3
28143,47.6
4007,61.9
28059,89.2
42065,90.1
20197,20.8
37137,86.3
38073,71.4
54053,43.1
8017,0.0
29087,0.4
53059,41.2
26065,100.0
21009,59.0
20031,57.8
29077,89.5
29157,52.8
12077,0.4
39169,49.2
5001,7.1
48069,57.4
48063,47.5
13059,99.2
48119,0.0
13049,78.8
40079,64.8
8121,14.1
19085,55.7
37089,81.8
18083,66.7
53055,100.0
46031,83.3
48215,88.5
18071,75.6
28153,2.2
47049,92.7
48245,90.5
36039,11.4
41025,0.0
20137,73.9
47095,55.8
48143,80.6
48323,97.5
40087,80.3
48153,52.0
20189,99.7
13267,80.2
5021,19.7
46087,98.4
48445,91.6
21205,99.4
2050,0.0
18129,37.7
18091,88.8
13315,86.2
49003,83.4
27061,73.8
39147,86.6
20063,54.4
19043,51.6
