FIPStxt,year,rate_domestic_migration
0,2020,
1000,2020,1.9175014754
1001,2020,4.8473097431
1003,2020,24.017828601
1005,2020,-5.690302272
1007,2020,1.3851343804
1009,2020,1.0207877367
1011,2020,-7.102342787
1013,2020,-7.216151897
1015,2020,-4.167836586
1017,2020,-7.927723098
1019,2020,11.721892358
1021,2020,4.1539208272
1023,2020,-15.65573126
1025,2020,-9.760201935
1027,2020,-0.904670361
1029,2020,-5.748663102
1031,2020,6.4050933916
1033,2020,4.6442015511
1035,2020,-13.71156451
1037,2020,3.942551394
1039,2020,6.3511796978
1041,2020,-1.014603037
1043,2020,4.5458351776
1045,2020,-1.810507044
1047,2020,-26.54656246
1049,2020,1.2594458438
1051,2020,0.8260387129
1053,2020,4.5381849994
1055,2020,-0.605235285
1057,2020,-5.924206798
1059,2020,-0.893712097
1061,2020,2.3584457082
1063,2020,-12.37745098
1065,2020,-7.006802721
1067,2020,4.5959625342
1069,2020,8.8866946433
1071,2020,2.4794909295
1073,2020,-3.603939903
1075,2020,-4.623108318
1077,2020,3.830942142
1079,2020,2.0951947165
1081,2020,-0.682514823
1083,2020,26.090254854
1085,2020,-22.63959391
1087,2020,-8.903789607
1089,2020,12.760959734
1091,2020,-6.803976898
1093,2020,2.0854706605
1095,2020,3.1408076955
1097,2020,-4.403241134
1099,2020,-11.91530087
1101,2020,-5.452658999
1103,2020,2.3861153205
1105,2020,-13.78313789
1107,2020,-1.653720872
1109,2020,-6.329495449
1111,2020,1.4521771656
1113,2020,0.4492634671
1115,2020,9.294702693
1117,2020,6.3745571621
1119,2020,-16.51969195
1121,2020,0.1748743091
1123,2020,-0.444982819
1125,2020,1.2497785354
1127,2020,1.1793379983
1129,2020,-3.972133953
1131,2020,-18.78695403
1133,2020,0.71848189
2000,2020,-12.92984719
2013,2020,-30.60011884
2016,2020,-16.14333866
2020,2020,-17.18865867
2050,2020,-4.808086327
2060,2020,-53.61305361
2068,2020,24.703317995
2070,2020,-24.42717271
2090,2020,-28.27842427
2100,2020,11.159824631
2105,2020,-6.042296073
2110,2020,-7.717423568
2122,2020,0.1023288337
2130,2020,-3.026263645
2150,2020,-30.47851265
2158,2020,-17.55124121
2164,2020,-17.56587202
2170,2020,4.3261910951
2180,2020,-14.65822406
2185,2020,-11.5841886
2188,2020,-20.37218413
2195,2020,5.8371735791
2198,2020,-26.42680888
2220,2020,-11.26297882
2230,2020,17.006802721
2240,2020,-18.65509761
2261,2020,-1.41589065
2275,2020,-11.9047619
2282,2020,-37.44680851
2290,2020,-26.25365946
4000,2020,12.609078462
4001,2020,-1.559693075
4003,2020,-4.715990378
4005,2020,2.188818842
4007,2020,9.3490015674
4009,2020,15.800708038
4011,2020,-5.489285337
4012,2020,5.8367143569
4013,2020,12.933884665
4015,2020,22.416619807
4017,2020,2.8123671812
4019,2020,8.4469340873
4021,2020,31.178711405
