FIPStxt,year,rate_international_migration
0,2012,
1000,2012,1.2100275652
1001,2012,-0.2541273
1003,2012,1.26890415
1005,2012,-0.440286186
1007,2012,0.8367832291
1009,2012,0.0868507903
1011,2012,0.6578638222
1013,2012,0.2889060092
1015,2012,0.5703729558
1017,2012,0.9099314616
1019,2012,0.2695054575
1021,2012,-0.068751361
1023,2012,-0.147210364
1025,2012,0.1182452406
1027,2012,-0.073743594
1029,2012,-0.067075829
1031,2012,4.1344686716
1033,2012,0.2199635227
1035,2012,0.0
1037,2012,-0.262789068
1039,2012,-0.1055061
1041,2012,1.0787874429
1043,2012,0.2364816509
1045,2012,3.3263287887
1047,2012,-0.069735007
1049,2012,0.8572894195
1051,2012,0.8240420511
1053,2012,-0.131187112
1055,2012,0.1725402234
1057,2012,-0.235314881
1059,2012,2.615573693
1061,2012,-0.409836066
1063,2012,0.0
1065,2012,-0.130187144
1067,2012,0.0
1069,2012,0.3886155087
1071,2012,1.317114015
1073,2012,1.0196251244
1075,2012,0.0700795403
1077,2012,0.4210094511
1079,2012,0.0589474925
1081,2012,5.6850599767
1083,2012,0.6594054939
1085,2012,-0.090946296
1087,2012,0.2864508737
1089,2012,1.8994716362
1091,2012,0.8772784872
1093,2012,0.4907092384
1095,2012,1.6156891924
1097,2012,1.6640786374
1099,2012,-0.088150385
1101,2012,2.676487732
1103,2012,0.6163430865
1105,2012,0.3881045942
1107,2012,-0.103458087
1109,2012,3.8647342995
1111,2012,-0.353372499
1113,2012,1.851324409
1115,2012,0.5215247487
1117,2012,1.0429620121
1119,2012,3.0449313034
1121,2012,0.4024169405
1123,2012,0.2425712553
1125,2012,1.5219237926
1127,2012,0.5576950614
1129,2012,1.5072026898
1131,2012,0.0
1133,2012,-0.082380805
2000,2012,3.232888444
2013,2012,16.481001068
2016,2012,14.745070172
2020,2012,4.1954606932
2050,2012,0.28510335
2060,2012,0.0
2068,2012,8.4656084656
2070,2012,0.2021018593
2090,2012,4.2332095288
2100,2012,5.0475635799
2105,2012,1.4289116456
2110,2012,2.4788906964
2122,2012,0.4240320144
2130,2012,4.0871437434
2150,2012,8.1887727616
2158,2012,0.0
2164,2012,1.2128562765
2170,2012,0.6040927282
2180,2012,0.4081632653
2185,2012,2.2854768336
2188,2012,0.2595717067
2195,2012,4.5927740355
2198,2012,-0.156298843
2220,2012,6.2566337076
2230,2012,0.0
2240,2012,5.0272308337
2261,2012,2.9783300811
2275,2012,2.0772746157
2282,2012,6.0606060606
2290,2012,0.3555239534
4000,2012,2.3181515643
4001,2012,0.6509199438
4003,2012,3.7870500992
4005,2012,1.15375655
4007,2012,0.5261476596
4009,2012,0.2158050202
4011,2012,1.9597671336
4012,2012,1.896656535
4013,2012,2.5971233497
4015,2012,-0.723854451
4017,2012,0.2885532776
4019,2012,2.4669014799
4021,2012,2.8199691697
4023,2012,0.1683749711
4025,2012,0.3309426665
4027,2012,3.2912591657
5000,2012,1.266623801
5001,2012,0.9514999339
5003,2012,-0.2315458
5005,2012,-0.363949581
5007,2012,4.0852472156
5009,2012,-0.188124001
5011,2012,-0.352453961
5013,2012,0.0
5015,2012,0.7624026575
5017,2012,1.4654540753
5019,2012,0.4377996191
5021,2012,-0.189957576
5023,2012,-0.154924668
5025,2012,0.0
5027,2012,2.0764626847
5029,2012,0.0473159999
5031,2012,1.6129194851
5033,2012,0.4365153144
5035,2012,0.159055212
5037,2012,0.0
5039,2012,0.3748125937
5041,2012,0.3159432882
5043,2012,0.4797057805
5045,2012,1.27766681
5047,2012,0.0556049822
5049,2012,-0.491621943
5051,2012,-0.165084606
5053,2012,0.2223148534
5055,2012,0.7209973021
5057,2012,-0.802997859
5059,2012,0.0
5061,2012,0.5092575752
5063,2012,0.4063003643
5065,2012,1.0327149338
5067,2012,0.1686957011
5069,2012,0.2920231229
5071,2012,1.705789994
5073,2012,-0.133457894
5075,2012,0.0
5077,2012,0.0976800977
5079,2012,-0.210386058
5081,2012,-0.464019179
5083,2012,0.8150328277
5085,2012,2.2057033186
5087,2012,0.1279631466
5089,2012,0.3604469542
5091,2012,-0.45753503
5093,2012,-0.021837876
5095,2012,-0.125368269
5097,2012,-0.213424394
5099,2012,0.0
5101,2012,0.1226768079
5103,2012,0.5866823115
5105,2012,0.1931340833
5107,2012,-0.237292962
5109,2012,0.0889086464
5111,2012,1.0256831049
5113,2012,0.2928400605
5115,2012,0.9096857594
5117,2012,0.0
5119,2012,2.4245859717
5121,2012,-0.502610784
5123,2012,1.4646518773
5125,2012,0.9502477432
5127,2012,-0.179396331
5129,2012,0.4974196356
5131,2012,1.4847926593
5133,2012,-0.406905772
5135,2012,0.4081156716
5137,2012,-0.559060778
5139,2012,-0.316059468
5141,2012,-0.465441005
5143,2012,3.2109993402
5145,2012,0.9060514025
5147,2012,0.0
5149,2012,0.3197222983
6000,2012,2.6008911645
6001,2012,5.8916989418
6003,2012,0.0
6005,2012,0.0535855426
6007,2012,0.6079247988
6009,2012,0.1333703807
6011,2012,-1.45515995
6013,2012,2.545977859
6015,2012,0.4237811876
6017,2012,0.5698305169
6019,2012,0.660139213
6021,2012,-0.821575281
6023,2012,0.355799344
6025,2012,-0.238391877
6027,2012,0.3265928204
6029,2012,0.9203232768
6031,2012,1.7433855358
6033,2012,-0.452400452
6035,2012,0.4714548803
6037,2012,2.816999941
6039,2012,-0.389179491
6041,2012,2.4401832484
6043,2012,0.4438157055
6045,2012,-0.40086587
6047,2012,-0.149952707
6049,2012,0.6362672322
6051,2012,1.5998330609
6053,2012,0.8470926738
6055,2012,1.4408335113
6057,2012,0.0304819191
6059,2012,2.4121400823
6061,2012,0.6335552637
6063,2012,0.409249028
6065,2012,0.4115433231
6067,2012,2.2934903366
6069,2012,-0.53297328
6071,2012,0.7652976691
6073,2012,4.4819837341
6075,2012,7.4270640902
6077,2012,0.8952994626
6079,2012,0.1980859033
6081,2012,4.8856339195
6083,2012,2.0160158662
6085,2012,7.4621079386
6087,2012,0.1317776046
6089,2012,0.7033080799
6091,2012,0.6488240065
6093,2012,0.2931427154
6095,2012,2.7607127136
6097,2012,0.2680542738
6099,2012,0.5703363443
6101,2012,2.9151273911
6103,2012,-0.205463755
6105,2012,-0.073599764
6107,2012,-0.776297929
6109,2012,0.6602415384
6111,2012,0.6756370915
6113,2012,3.9603473298
6115,2012,2.0514515052
8000,2012,2.1363703132
8001,2012,1.4308267571
8003,2012,-0.063716589
8005,2012,4.3130131217
8007,2012,0.3312217944
8009,2012,0.2666666667
8011,2012,2.1186440678
8013,2012,2.6533140786
8014,2012,1.7687869213
8015,2012,0.5527610414
8017,2012,0.5354752343
8019,2012,2.4405125076
8021,2012,0.6046680372
8023,2012,2.2087244616
8025,2012,2.2909507446
8027,2012,0.0
8029,2012,0.2957704821
8031,2012,3.0023262055
8033,2012,0.0
8035,2012,1.8469157184
8037,2012,1.1879101403
8039,2012,-0.215275984
8041,2012,4.1798227705
8043,2012,1.2284101619
8045,2012,0.354581638
8047,2012,0.184179022
8049,2012,-0.208449138
8051,2012,-0.7180391
8053,2012,0.0
8055,2012,0.0
8057,2012,0.0
8059,2012,1.0412948851
8061,2012,0.0
8063,2012,0.8618566855
8065,2012,-0.959166895
8067,2012,-0.01917233
8069,2012,1.5744504032
8071,2012,0.3328340822
8073,2012,1.2892531541
8075,2012,-0.534128591
8077,2012,-0.13582758
8079,2012,0.0
8081,2012,0.676844401
8083,2012,-0.11775789
8085,2012,-0.367538959
8087,2012,2.2927689594
8089,2012,0.106743522
8091,2012,0.4479283315
8093,2012,0.4983802641
8095,2012,2.7217056022
8097,2012,2.5536113287
8099,2012,0.8024716126
8101,2012,0.2866892071
8103,2012,2.665679378
8105,2012,-0.588754784
8107,2012,2.6223024675
8109,2012,0.6389266033
8111,2012,0.0
8113,2012,1.9909742501
8115,2012,0.4210526316
8117,2012,4.6148384807
8119,2012,-0.341778101
8121,2012,0.2113494663
8123,2012,0.6004306273
8125,2012,0.6919047148
9000,2012,4.4244399492
9001,2012,5.8665696241
9003,2012,4.9816947793
9005,2012,0.8657732736
9007,2012,1.8323849937
9009,2012,4.276696229
9011,2012,4.1818367914
9013,2012,2.3342961212
9015,2012,2.4721774211
10000,2012,1.3299973663
10001,2012,1.9975511948
10003,2012,1.3140011981
10005,2012,0.8230126228
11000,2012,5.3940149387
11001,2012,5.3940149387
12000,2012,5.1512006487
12001,2012,3.7578238131
12003,2012,0.4066393109
12005,2012,2.5138289893
12007,2012,0.4686204535
12009,2012,1.8692873342
12011,2012,6.8382134674
12013,2012,0.3403444286
12015,2012,1.3080688007
12017,2012,0.3800045887
12019,2012,2.1078526575
12021,2012,5.0131694203
12023,2012,0.2662702199
12027,2012,3.2641374374
12029,2012,0.122853896
12031,2012,3.5823866181
12033,2012,4.210184067
12035,2012,1.5926818312
12037,2012,0.7797608733
12039,2012,0.9366983512
12041,2012,0.2950635862
12043,2012,2.8228652082
12045,2012,0.3805416376
12047,2012,0.6822213126
12049,2012,3.1202946139
12051,2012,3.8520600713
12053,2012,0.4919479693
12055,2012,2.064067433
12057,2012,5.3322456888
12059,2012,0.101176173
12061,2012,1.3878158354
12063,2012,0.244135658
12065,2012,-0.208710171
12067,2012,0.2274148616
12069,2012,1.6914089006
12071,2012,3.425210743
12073,2012,2.2349112352
12075,2012,0.5501788081
12077,2012,-0.241472985
12079,2012,0.2624534145
12081,2012,2.7578157011
12083,2012,1.2189282138
12085,2012,0.7208979559
12086,2012,13.740447581
12087,2012,4.7398789446
12089,2012,0.8340788474
12091,2012,4.6236697563
12093,2012,1.5330677691
12095,2012,7.7502752755
12097,2012,12.75743949
12099,2012,5.1246500348
12101,2012,1.4485616403
12103,2012,2.0944548032
12105,2012,3.8599609434
12107,2012,0.0955116354
12109,2012,0.7233055062
12111,2012,2.080422901
12113,2012,1.8985245024
12115,2012,1.324377523
12117,2012,2.3620825072
12119,2012,-0.180320971
12121,2012,0.6444040413
12123,2012,0.5724350506
12125,2012,0.7854174166
12127,2012,1.6508593853
12129,2012,0.1940742658
12131,2012,0.4787573587
12133,2012,0.2030415626
13000,2012,2.1788623052
13001,2012,-0.271414613
13003,2012,0.0
13005,2012,0.0897062122
13007,2012,0.5985335927
13009,2012,0.6107869335
13011,2012,0.1649257834
13013,2012,0.1714542896
