county_fips,rate_natural_increase_population
0,
1000,2.2259764441
1001,0.9983572485
1003,1.104318256
1005,0.513667217
1007,0.4404122258
1009,2.1712697586
1011,0.5638832762
1013,-1.637134052
1015,-0.025539088
1017,-2.406915479
1019,-3.388068608
1021,1.5812812962
1023,-2.576181363
1025,0.1182452406
1027,-2.581025773
1029,1.6098199014
1031,2.5397450411
1033,-0.898184384
1035,-1.90541519
1037,-2.803083392
1039,-1.714474118
1041,-1.366464094
1043,-0.472963302
1045,4.9994522512
1047,1.8363551836
1049,2.2486279856
1051,3.70818923
1053,-0.892072363
1055,-2.415563128
1057,-5.353413536
1059,0.7878234015
1061,-1.564828614
1063,0.450678835
1065,3.1244914565
1067,-2.953953084
1069,3.1672163957
1071,-1.749880049
1073,3.4494024328
1075,-2.242545289
1077,-1.381774609
1079,-0.412632448
1081,5.3092447138
1083,3.3085959869
1085,2.8193351826
1087,-0.763868996
1089,4.270879898
1091,1.2184423433
1093,-2.813399634
1095,2.5298291302
1097,3.9328370122
1099,-1.895233268
1101,5.1302986707
1103,1.5241997951
1105,-1.746470674
1107,-0.827664692
1109,2.9287439614
1111,-0.706744998
1113,5.8209911706
1115,3.0698843163
1117,5.4855790445
1119,-2.227998515
1121,-0.670694901
1123,-0.679199515
1125,4.3736348192
1127,-2.98442222
1129,-0.985478682
1131,-0.703605981
1133,-2.842137782
2000,9.8914269939
2013,3.3572409583
2016,2.48712027
2020,10.372578442
2050,16.992159658
2060,-1.991040319
2068,7.4074074074
2070,12.32821342
2090,11.570772712
2100,0.0
2105,2.3815194094
2110,5.670462468
2122,6.5724962235
2130,5.6928073569
2150,11.062026362
2158,23.826481062
2164,13.94784718
2170,8.5543845266
2180,18.367346939
2185,15.063370039
2188,15.963659961
2195,5.8175137783
2198,8.9090340731
2220,6.2566337076
2230,5.1020408163
2240,12.568077084
2261,5.7512580877
2275,0.4154549231
2282,9.0909090909
2290,4.7995733713
4000,5.6530658974
4001,6.4399526352
4003,3.5456445152
4005,7.388479445
4007,-2.048217675
4009,7.0136631553
4011,4.9570580437
