FIPStxt,year,rate_natural_increase_population
0,2020,
1000,2020,0.7014701253
1001,2020,1.490098921
1003,2020,-0.099753111
1005,2020,-2.259978207
1007,2020,-0.53618105
1009,2020,-0.103808922
1011,2020,0.0
1013,2020,-3.019524553
1015,2020,-2.30766531
1017,2020,-2.602686451
1019,2020,-4.63512737
1021,2020,1.0836315201
1023,2020,-3.382896704
1025,2020,-2.440050484
1027,2020,-3.317124656
1029,2020,-0.13368984
1031,2020,0.5561308633
1033,2020,-1.614585695
1035,2020,-4.844205427
1037,2020,-3.097718952
1039,2020,-3.513418556
1041,2020,-3.04380911
1043,2020,-0.717763449
1045,2020,2.0749631287
1047,2020,-2.755331832
1049,2020,-0.335852225
1051,2020,1.3685118974
1053,2020,-1.476277048
1055,2020,-3.045700145
1057,2020,-3.114789141
1059,2020,2.0746887967
1061,2020,-3.309431881
1063,2020,0.3676470588
1065,2020,0.612244898
1067,2020,-2.676130083
1069,2020,1.5855534246
1071,2020,-2.188925586
1073,2020,1.6373268022
1075,2020,-0.939068877
1077,2020,-2.805760442
1079,2020,-2.398846125
1081,2020,4.2169665872
1083,2020,1.5377360425
1085,2020,-2.538071066
1087,2020,-5.05647311
1089,2020,2.5327301994
1091,2020,-3.533848466
1093,2020,-3.464572226
1095,2020,2.4877684717
1097,2020,2.0964360587
1099,2020,-3.780356502
1101,2020,3.9471070002
1103,2020,0.7200207634
1105,2020,-2.890012783
1107,2020,-1.503382611
1109,2020,0.1808427271
1111,2020,-1.364166428
1113,2020,3.4904315521
1115,2020,0.0898038908
1117,2020,2.8203145735
1119,2020,-2.154742428
1121,2020,-2.498204416
1123,2020,-3.683468888
1125,2020,2.6767287406
1127,2020,-3.443666955
1129,2020,-1.588853581
1131,2020,-2.765592218
1133,2020,-3.465618528
2000,2020,7.1071887332
2013,2020,0.2970885324
2016,2020,5.4993791024
2020,2020,7.1769218403
2050,2020,13.82324819
2060,2020,1.1655011655
2068,2020,2.421893921
2070,2020,9.0844857172
2090,2020,10.511017634
2100,2020,5.1813471503
2105,2020,0.9295840112
2110,2020,5.0928746622
2122,2020,2.1147958966
2130,2020,4.6835032604
2150,2020,8.7625723865
2158,2020,15.627817515
2164,2020,13.174404015
2170,2020,6.7028110958
2180,2020,9.5727177544
2185,2020,9.5518748095
2188,2020,10.055501143
2195,2020,0.3072196621
2198,2020,0.9551858632
2220,2020,2.2291312254
2230,2020,-5.102040816
2240,2020,10.701373825
2261,2020,6.5348799216
2275,2020,-5.158730159
2282,2020,5.1063829787
2290,2020,1.3221267353
4000,2020,2.9672901938
4001,2020,3.2307927976
4003,2020,0.2853372329
4005,2020,4.2797352438
4007,2020,-5.509233067
4009,2020,5.2842565598
4011,2020,10.028502058
4012,2020,-5.646902508
4013,2020,4.4328095414
4015,2020,-7.701560954
4017,2020,2.9841838257
4019,2020,0.6641607077
4021,2020,2.7220906008
4023,2020,6.5236347195
4025,2020,-5.397636606
4027,2020,6.0084767477
5000,2020,1.764568181
5001,2020,-0.567988186
5003,2020,-1.915853689
5005,2020,-8.281870841
5007,2020,6.9785113355
5009,2020,-1.416790302
5011,2020,-1.296236285
5013,2020,-1.728110599
5015,2020,-0.141650583
5017,2020,-3.793774319
5019,2020,-0.358479152
5021,2020,-2.865525005
5023,2020,-6.331015968
5025,2020,-1.62999185
5027,2020,-0.722743022
5029,2020,0.6719301193
5031,2020,3.8877835983
5033,2020,1.5793297325
5035,2020,3.9037355427
5037,2020,-0.786710642
5039,2020,-0.847397783
5041,2020,-3.235962918
5043,2020,1.6417216187
5045,2020,4.7462621195
5047,2020,-0.676456495
5049,2020,-5.406495864
5051,2020,-2.782931354
5053,2020,-0.878035396
5055,2020,1.8088767317
5057,2020,2.6841289307
5059,2020,-0.533784084
5061,2020,0.0754603079
5063,2020,2.1959705264
5065,2020,-5.071478446
5067,2020,-1.135277247
5069,2020,-0.578244657
5071,2020,2.7800214137
5073,2020,-4.961286928
5075,2020,-3.349777697
5077,2020,-4.373913531
5079,2020,-3.51037851
5081,2020,-3.257859586
5083,2020,-2.82806741
5085,2020,2.2903885481
5087,2020,4.0075292975
5089,2020,-8.21367547
5091,2020,1.1313914961
5093,2020,2.0027599008
5095,2020,-6.921434357
5097,2020,-6.70540903
5099,2020,-0.241545894
5101,2020,-3.086221308
5103,2020,-3.787072891
5105,2020,-2.015838733
5107,2020,0.6697176024
5109,2020,-2.618780397
5111,2020,-1.011996374
5113,2020,-3.551509391
5115,2020,2.6945310419
5117,2020,-4.459861249
5119,2020,3.2456058656
5121,2020,-1.113337787
5123,2020,-0.396016078
5125,2020,1.4783726403
5127,2020,-0.484966052
5129,2020,-4.80678009
5131,2020,3.946796556
5133,2020,5.6944933662
5135,2020,-2.706437867
5137,2020,-4.407051282
5139,2020,-1.79900027
5141,2020,-6.570223026
5143,2020,6.7423570507
5145,2020,0.5600315654
5147,2020,-5.005474738
5149,2020,0.6541597552
6000,2020,4.5609296986
6001,2020,4.60383723
6003,2020,4.5085662759
6005,2020,-3.031949164
6007,2020,-0.46715978
6009,2020,-2.860168335
6011,2020,7.1220761085
6013,2020,3.1179946572
6015,2020,0.2160138249
6017,2020,-0.391043539
6019,2020,7.0706375678
6021,2020,4.2583392477
6023,2020,-0.279615308
6025,2020,9.0919616914
6027,2020,1.0559955537
6029,2020,7.4316038262
6031,2020,9.4242282845
6033,2020,-1.818139437
6035,2020,2.5820790639
6037,2020,4.4547278918
6039,2020,6.670719171
6041,2020,0.5824628535
6043,2020,-1.791493296
6045,2020,0.8383577376
6047,2020,8.3322611452
6049,2020,-3.287795476
6051,2020,6.6558047631
6053,2020,7.039081302
6055,2020,-0.318226035
6057,2020,-2.087693149
6059,2020,4.6879046675
6061,2020,0.6096180528
6063,2020,-2.98284862
6065,2020,4.6107517083
6067,2020,4.4156795449
6069,2020,7.242003621
6071,2020,6.4957562256
6073,2020,5.2609405216
6075,2020,2.8475041779
6077,2020,5.4626878088
6079,2020,0.0812053701
6081,2020,4.2181945137
6083,2020,4.7115308104
6085,2020,5.4168332172
6087,2020,2.39464477
6089,2020,-1.778820364
6091,2020,-3.998667111
6093,2020,-3.283996831
6095,2020,3.0827161931
6097,2020,0.2618383672
6099,2020,5.5989064295
6101,2020,4.4796424563
6103,2020,1.2083468885
6105,2020,-3.460486078
6107,2020,8.2145803967
6109,2020,-2.847563496
6111,2020,3.4471604606
6113,2020,3.7628966588
6115,2020,7.2459593535
8000,2020,4.4380696877
8001,2020,6.9383490073
8003,2020,5.1106800899
