county_fips,rate_net_migration
0,
1000,1.1863137707
1001,-6.226118841
1003,17.488578535
1005,-6.897816914
1007,-3.787545142
1009,-1.650165017
1011,-6.954560406
1013,-7.896764253
1015,-4.588522734
1017,4.4909520525
1019,2.3100467784
1021,-3.964661801
1023,-0.588841454
1025,-17.61854085
1027,-16.44482136
1029,-4.3599289
1031,11.044937737
1033,1.6497264204
1035,-9.755725773
1037,-9.285213735
1039,-3.824596109
1041,3.092524003
1043,-0.933480201
1045,-1.57353278
1047,-12.94746629
1049,-8.263707847
1051,-1.136179192
1053,-3.778188831
1055,1.7158166664
1057,-0.882430803
1059,-3.560961775
1061,7.8614008942
1063,-6.647512816
1065,-2.864117168
1067,-10.07819288
1069,5.4503325091
1071,-0.658557008
1073,-3.417491661
1075,-0.490556782
1077,2.0942521415
1079,-6.896856625
1081,24.407493073
1083,16.901603975
1085,-30.01227775
1087,-32.70314141
1089,5.1092269473
1091,-15.64479969
1093,-2.518974091
1095,1.5944301241
1097,-1.997861852
1099,-7.713158649
1101,-6.645374108
1103,-0.707961653
1105,-26.9732693
1107,-1.344955125
1109,2.9589371981
1111,-8.65762622
1113,39.696667616
1115,6.3175611606
1117,9.3064302619
1119,-1.411065726
1121,4.2436695547
1123,-8.004851425
1125,6.0067955667
1127,-4.19024938
1129,-11.47792818
1131,-11.52154793
1133,-3.995469056
2000,1.416798215
2013,7.3248893637
2016,14.389767277
2020,-3.485563174
2050,-3.30719886
2060,-50.77152812
2068,11.111111111
2070,-12.12611156
2090,9.9883586738
2100,1.1648223646
2105,10.954989283
2110,1.4253621504
2122,4.0813081388
2130,-1.678648323
2150,5.243687821
2158,-5.438653286
2164,-15.16070346
2170,12.254452487
2180,-13.7755102
2185,-0.207770621
2188,-16.35301752
2195,1.2247397428
2198,-1.094091904
2220,8.7145969499
2230,30.612244898
2240,-10.05446167
2261,-6.880969498
2275,10.386373079
2282,3.0303030303
2290,-6.221669185
4000,6.8998015831
4001,-5.76133397
4003,-12.00238388
4005,6.1237847652
4007,-6.257398951
4009,-10.41259222
4011,15.33229581
4012,-2.285714286
4013,11.175709661
4015,5.9878028063
4017,-8.852069904
4019,1.7775014346
4021,5.7635750475
4023,-14.88013807
4025,8.4674045112
4027,-11.13205499
5000,0.8277854905
5001,3.2773886613
5003,-9.81754191
5005,2.0623809582
5007,17.237330024
5009,4.6224754431
5011,-13.39325051
5013,7.0335519437
5015,5.6998674872
5017,-19.05090298
5019,-7.880393144
5021,-4.875577788
5023,0.6196986715
5025,-9.257652028
5027,-11.72590693
5029,0.1892639996
5031,10.55454188
5033,-1.050870201
5035,-15.30906416
5037,-6.307726966
5039,-7.871064468
5041,-13.03266064
5043,-0.426405138
