county_fips,year,unemployment
0,2008,5.788650035858154
1000,2008,5.8
1001,2008,5.3
1003,2008,4.8
1005,2008,9.1
1007,2008,6.0
1009,2008,4.8
1011,2008,10.9
1013,2008,8.8
1015,2008,5.9
1017,2008,14.9
1019,2008,5.9
1021,2008,5.2
1023,2008,8.6
1025,2008,9.3
1027,2008,8.2
1029,2008,5.2
1031,2008,5.0
1033,2008,6.7
1035,2008,9.7
1037,2008,8.5
1039,2008,6.1
1041,2008,5.7
1043,2008,5.0
1045,2008,5.6
1047,2008,11.5
1049,2008,6.0
1051,2008,5.3
1053,2008,7.8
1055,2008,6.2
1057,2008,7.5
1059,2008,7.7
1061,2008,5.7
1063,2008,8.8
1065,2008,7.7
1067,2008,8.0
1069,2008,5.1
1071,2008,6.4
1073,2008,5.6
1075,2008,8.3
1077,2008,5.9
1079,2008,6.7
1081,2008,5.4
1083,2008,4.9
1085,2008,11.3
1087,2008,7.7
1089,2008,4.3
1091,2008,7.7
1093,2008,8.2
1095,2008,4.9
1097,2008,5.9
1099,2008,10.5
1101,2008,6.1
1103,2008,5.4
1105,2008,11.7
1107,2008,7.4
1109,2008,5.0
1111,2008,7.6
1113,2008,8.3
1115,2008,5.2
1117,2008,3.9
1119,2008,9.1
1121,2008,7.5
1123,2008,7.4
1125,2008,4.9
1127,2008,5.9
1129,2008,8.7
1131,2008,14.4
1133,2008,8.9
2000,2008,6.5
2013,2008,8.4
2016,2008,5.6
2020,2008,5.2
2050,2008,13.4
2060,2008,4.7
2068,2008,5.9
2070,2008,9.0
2090,2008,5.9
2100,2008,8.6
2105,2008,
2110,2008,4.6
2122,2008,7.9
2130,2008,5.7
2150,2008,6.6
2158,2008,19.9
2164,2008,6.6
2170,2008,7.3
2180,2008,10.0
2185,2008,4.1
2188,2008,11.2
2195,2008,
2198,2008,
2201,2008,13.4
2220,2008,5.6
2230,2008,
2232,2008,12.5
2240,2008,8.5
2261,2008,8.1
2275,2008,
2280,2008,10.3
2282,2008,7.2
2290,2008,13.6
4000,2008,5.8
4001,2008,11.0
4003,2008,5.5
4005,2008,5.3
4007,2008,6.1
4009,2008,6.7
4011,2008,5.0
4012,2008,7.3
4013,2008,5.1
4015,2008,7.2
4017,2008,9.5
4019,2008,5.5
4021,2008,7.0
4023,2008,10.4
4025,2008,5.8
4027,2008,17.4
5000,2008,5.4
5001,2008,9.7
5003,2008,7.5
5005,2008,6.0
5007,2008,4.1
5009,2008,5.4
5011,2008,7.2
5013,2008,6.1
5015,2008,4.5
5017,2008,8.2
5019,2008,5.9
5021,2008,8.0
5023,2008,5.6
5025,2008,5.8
5027,2008,6.9
5029,2008,5.5
5031,2008,4.8
5033,2008,4.8
5035,2008,7.9
5037,2008,6.8
5039,2008,7.2
5041,2008,8.7
5043,2008,7.8
5045,2008,4.7
5047,2008,4.4
5049,2008,5.2
5051,2008,5.6
5053,2008,5.2
5055,2008,6.5
5057,2008,5.7
5059,2008,6.5
5061,2008,5.5
5063,2008,6.9
5065,2008,6.7
5067,2008,7.7
5069,2008,7.6
5071,2008,4.7
5073,2008,7.0
5075,2008,7.1
5077,2008,8.5
5079,2008,8.0
5081,2008,3.9
5083,2008,6.5
5085,2008,4.4
5087,2008,4.4
5089,2008,6.2
5091,2008,4.0
5093,2008,7.6
5095,2008,6.4
5097,2008,5.6
5099,2008,6.7
5101,2008,5.6
5103,2008,6.3
5105,2008,5.6
5107,2008,7.1
5109,2008,6.0
5111,2008,6.4
5113,2008,5.1
5115,2008,4.9
5117,2008,5.6
5119,2008,4.7
5121,2008,8.1
5123,2008,9.3
5125,2008,4.4
5127,2008,4.7
5129,2008,5.3
5131,2008,4.9
5133,2008,4.0
5135,2008,7.5
5137,2008,6.5
5139,2008,6.3
5141,2008,6.6
5143,2008,4.2
5145,2008,5.9
5147,2008,7.9
5149,2008,4.5
6000,2008,7.3
6001,2008,6.2
6003,2008,10.5
6005,2008,7.7
6007,2008,8.5
6009,2008,8.7
6011,2008,13.9
6013,2008,6.2
6015,2008,8.8
6017,2008,7.0
6019,2008,10.6
6021,2008,10.5
6023,2008,7.3
6025,2008,22.6
6027,2008,6.6
6029,2008,9.9
6031,2008,10.6
6033,2008,10.7
6035,2008,9.6
6037,2008,7.5
6039,2008,9.5
6041,2008,4.7
6043,2008,7.6
6045,2008,6.9
6047,2008,12.7
6049,2008,9.7
6051,2008,5.9
6053,2008,8.5
6055,2008,5.1
6057,2008,6.6
6059,2008,5.3
6061,2008,6.5
6063,2008,10.6
6065,2008,8.6
6067,2008,7.2
6069,2008,9.7
6071,2008,8.1
6073,2008,6.1
6075,2008,5.3
6077,2008,10.5
6079,2008,5.8
6081,2008,4.9
6083,2008,5.5
6085,2008,6.0
6087,2008,7.4
6089,2008,10.1
6091,2008,10.6
6093,2008,10.2
6095,2008,6.9
6097,2008,5.8
6099,2008,11.1
6101,2008,12.4
6103,2008,9.2
6105,2008,12.8
6107,2008,10.9
6109,2008,8.0
6111,2008,6.3
6113,2008,7.4
6115,2008,12.0
8000,2008,4.9
8001,2008,5.4
8003,2008,5.2
8005,2008,4.9
8007,2008,5.1
8009,2008,3.4
8011,2008,6.2
8013,2008,4.2
8014,2008,4.5
8015,2008,4.5
8017,2008,2.7
8019,2008,4.6
8021,2008,7.3
8023,2008,7.8
8025,2008,7.4
8027,2008,5.1
8029,2008,4.4
8031,2008,5.4
8033,2008,7.2
8035,2008,4.2
8037,2008,3.6
8039,2008,4.8
8041,2008,5.7
8043,2008,6.4
8045,2008,3.1
8047,2008,4.2
8049,2008,3.7
8051,2008,3.6
8053,2008,3.4
8055,2008,6.4
8057,2008,3.3
8059,2008,4.7
8061,2008,3.7
8063,2008,3.4
8065,2008,4.6
8067,2008,3.6
8069,2008,4.2
8071,2008,4.5
8073,2008,3.7
8075,2008,3.9
8077,2008,3.9
8079,2008,5.4
8081,2008,3.8
8083,2008,5.2
8085,2008,5.0
8087,2008,4.3
8089,2008,6.0
8091,2008,3.7
8093,2008,4.8
8095,2008,3.4
8097,2008,3.3
8099,2008,4.5
8101,2008,6.1
8103,2008,2.6
8105,2008,5.7
8107,2008,3.4
8109,2008,7.2
8111,2008,5.6
8113,2008,3.9
8115,2008,3.2
8117,2008,3.8
8119,2008,5.5
8121,2008,3.3
8123,2008,5.2
8125,2008,2.7
9000,2008,5.6
9001,2008,5.1
9003,2008,6.0
9005,2008,5.3
9007,2008,4.8
9009,2008,6.2
9011,2008,5.4
9013,2008,4.8
9015,2008,6.5
10000,2008,5.0
10001,2008,5.0
10003,2008,5.0
10005,2008,5.1
11000,2008,6.8
11001,2008,6.8
12000,2008,5.7
12001,2008,4.0
12003,2008,5.3
12005,2008,5.1
12007,2008,4.5
12009,2008,6.1
12011,2008,5.0
12013,2008,5.0
12015,2008,7.6
12017,2008,7.6
12019,2008,5.0
12021,2008,6.4
